col_0;col_1;col_2;Total Total;Total Españoles;Total Extranjeros;Hombres Total;Hombres Españoles;Hombres Extranjeros;Mujeres Total;Mujeres Españoles;Mujeres Extranjeros;Año;Mes
HORTALEZA;Total;;175489.0;;;;;;;;;2012;8
VILLAVERDE;Total;;146712.0;;;;;;;;;2012;8
VILLA DE VALLECAS;Total;;97198.0;;;;;;;;;2012;8
VICÁLVARO;Total;;70977.0;;;;;;;;;2012;8
SAN BLAS-CANILLEJAS;Total;;156874.0;;;;;;;;;2012;8
BARAJAS;Total;;46502.0;;;;;;;;;2012;8
CENTRO;Total;;140217.0;;;;;;;;;2012;9
ARGANZUELA;Total;;155179.0;;;;;;;;;2012;9
RETIRO;Total;;121155.0;;;;;;;;;2012;9
SALAMANCA;Total;;146715.0;;;;;;;;;2012;9
CHAMARTÍN;Total;;145867.0;;;;;;;;;2012;9
TETUÁN;Total;;157015.0;;;;;;;;;2012;9
CHAMBERÍ;Total;;141887.0;;;;;;;;;2012;9
FUENCARRAL - EL PARDO;Total;;235253.0;;;;;;;;;2012;9
MONCLOA - ARAVACA;Total;;117756.0;;;;;;;;;2012;9
LATINA;Total;;246229.0;;;;;;;;;2012;9
CARABANCHEL;Total;;251112.0;;;;;;;;;2012;9
USERA;Total;;137923.0;;;;;;;;;2012;9
PUENTE DE VALLECAS;Total;;236972.0;;;;;;;;;2012;9
MORATALAZ;Total;;99121.0;;;;;;;;;2012;9
CIUDAD LINEAL;Total;;222205.0;;;;;;;;;2012;9
HORTALEZA;Total;;175575.0;;;;;;;;;2012;9
VILLAVERDE;Total;;146508.0;;;;;;;;;2012;9
VILLA DE VALLECAS;Total;;97457.0;;;;;;;;;2012;9
VICÁLVARO;Total;;71079.0;;;;;;;;;2012;9
SAN BLAS-CANILLEJAS;Total;;156941.0;;;;;;;;;2012;9
BARAJAS;Total;;46542.0;;;;;;;;;2012;9
CENTRO;Total;;139212.0;;;;;;;;;2012;10
ARGANZUELA;Total;;154717.0;;;;;;;;;2012;10
RETIRO;Total;;120789.0;;;;;;;;;2012;10
SALAMANCA;Total;;146425.0;;;;;;;;;2012;10
CHAMARTÍN;Total;;145113.0;;;;;;;;;2012;10
TETUÁN;Total;;156549.0;;;;;;;;;2012;10
CHAMBERÍ;Total;;141802.0;;;;;;;;;2012;10
FUENCARRAL - EL PARDO;Total;;234364.0;;;;;;;;;2012;10
MONCLOA - ARAVACA;Total;;117569.0;;;;;;;;;2012;10
LATINA;Total;;245062.0;;;;;;;;;2012;10
CARABANCHEL;Total;;248829.0;;;;;;;;;2012;10
USERA;Total;;136521.0;;;;;;;;;2012;10
PUENTE DE VALLECAS;Total;;234622.0;;;;;;;;;2012;10
MORATALAZ;Total;;98553.0;;;;;;;;;2012;10
CIUDAD LINEAL;Total;;220131.0;;;;;;;;;2012;10
HORTALEZA;Total;;174616.0;;;;;;;;;2012;10
VILLAVERDE;Total;;144961.0;;;;;;;;;2012;10
VILLA DE VALLECAS;Total;;97252.0;;;;;;;;;2012;10
VICÁLVARO;Total;;70573.0;;;;;;;;;2012;10
SAN BLAS-CANILLEJAS;Total;;156221.0;;;;;;;;;2012;10
BARAJAS;Total;;46230.0;;;;;;;;;2012;10
CENTRO;Total;;139066.0;;;;;;;;;2012;11
ARGANZUELA;Total;;154583.0;;;;;;;;;2012;11
RETIRO;Total;;120813.0;;;;;;;;;2012;11
SALAMANCA;Total;;146317.0;;;;;;;;;2012;11
CHAMARTÍN;Total;;145181.0;;;;;;;;;2012;11
TETUÁN;Total;;156397.0;;;;;;;;;2012;11
CHAMBERÍ;Total;;141817.0;;;;;;;;;2012;11
FUENCARRAL - EL PARDO;Total;;234412.0;;;;;;;;;2012;11
MONCLOA - ARAVACA;Total;;117600.0;;;;;;;;;2012;11
LATINA;Total;;244802.0;;;;;;;;;2012;11
CARABANCHEL;Total;;248775.0;;;;;;;;;2012;11
