Distrito,Habitaciones,Operacion,Precio,Tamano,Garaje,Trastero,Piscina,Terraza,Planta,Exterior,Ascensor,Ano_construccion,Ano_reforma,Tipo_vivienda,Banos
CENTRO,1,alquiler,1600,81.0,False,False,False,False,5.0,True,True,,,apartamento,1
CENTRO,3,alquiler,5400,240.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,1670,87.0,False,False,False,True,3.0,True,False,,,apartamento,1
CENTRO,4,alquiler,9500,310.0,False,False,False,False,11.0,True,True,1881.0,,apartamento,1
CENTRO,1,alquiler,950,35.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1200,40.0,False,False,False,False,1.0,False,True,,,apartamento,1
CENTRO,1,alquiler,2900,91.0,False,False,False,False,3.0,True,True,,,dúplex,1
CENTRO,1,alquiler,1550,52.0,False,True,False,False,4.0,True,True,,,apartamento,1
CENTRO,2,alquiler,3500,85.0,False,False,False,False,1.0,True,False,,,apartamento,1
CENTRO,2,alquiler,1200,60.0,False,False,False,False,5.0,True,False,,,apartamento,1
CENTRO,1,alquiler,1200,45.0,False,False,False,False,-1.0,True,True,,,apartamento,1
CENTRO,1,alquiler,850,30.0,False,False,False,False,2.0,False,True,,,apartamento,1
CENTRO,2,alquiler,1600,62.0,False,False,False,False,2.0,False,False,,2019.0,apartamento,1
CENTRO,2,alquiler,3600,125.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,3,alquiler,2500,127.0,False,False,False,False,2.0,True,False,,,apartamento,2
CENTRO,2,alquiler,3900,128.0,False,False,False,True,3.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1600,65.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2600,100.0,False,False,False,False,1.0,True,True,,,dúplex,1
CENTRO,1,alquiler,1315,35.0,False,False,False,False,0.0,True,True,,,apartamento,1
CENTRO,2,alquiler,1380,49.0,False,False,False,False,1.0,True,False,,,apartamento,1
CENTRO,1,alquiler,1700,80.0,False,False,False,True,2.0,True,False,,,apartamento,1
CENTRO,5,alquiler,4150,138.0,False,False,False,False,1.0,True,True,,,apartamento,2
CENTRO,3,alquiler,2750,115.0,False,False,False,False,1.0,True,False,,,apartamento,1
CENTRO,2,alquiler,2400,96.0,False,False,False,False,2.0,True,False,,,apartamento,1
CENTRO,2,alquiler,2600,92.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,3,alquiler,2700,120.0,False,False,False,False,4.0,True,True,,,apartamento,1
CENTRO,3,alquiler,2200,120.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2400,124.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,4,alquiler,4900,140.0,False,False,False,False,2.0,True,False,,,apartamento,1
CENTRO,1,alquiler,1100,48.0,False,False,False,False,5.0,True,False,,,ático,1
CENTRO,2,alquiler,2800,80.0,False,False,False,False,2.0,False,True,,,apartamento,1
CENTRO,4,alquiler,10000,350.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2320,79.0,False,False,False,True,3.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1600,54.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,1,alquiler,2660,69.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,4800,136.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1150,51.0,False,False,False,False,2.0,False,True,,,apartamento,1
CENTRO,1,alquiler,2500,65.0,False,False,False,False,5.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1500,124.0,False,False,False,False,1.0,True,True,,,apartamento,1
CENTRO,2,alquiler,1400,75.0,False,False,False,True,2.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2150,72.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,3,alquiler,3200,180.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,3,alquiler,4500,170.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,1,alquiler,3000,80.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,2,alquiler,2580,81.0,False,False,False,False,2.0,True,True,,,apartamento,1
CENTRO,3,alquiler,2000,80.0,False,False,False,False,3.0,False,True,,,apartamento,1
CENTRO,2,alquiler,1770,82.0,False,False,False,False,3.0,True,False,,,apartamento,1
CENTRO,1,alquiler,3000,100.0,False,False,False,False,8.0,True,True,,,dúplex,1
CENTRO,2,alquiler,2030,97.0,False,False,False,False,3.0,True,True,,,apartamento,1
CENTRO,3,alquiler,1900,95.0,False,False,False,True,2.0,False,True,,,apartamento,1
CENTRO,2,alquiler,1850,70.0,False,False,False,True,1.0,True,True,,,apartamento,1
CENTRO,1,alquiler,1450,55.0,False,False,False,False,2.0,True,True,,,loft,1
CENTRO,1,alquiler,1590,73.0,False,False,False,False,1.0,True,False,,,apartamento,1
CENTRO,1,alquiler,1450,61.0,False,False,False,False,4.0,True,True,1890.0,,apartamento,1
CENTRO,2,alquiler,3200,156.0,False,False,False,False,2.0,True,True,,,apartamento,2
CENTRO,1,alquiler,2200,50.0,False,False,False,False,4.0,False,True,,,apartamento,1
