,LOCATIONID,LOCATIONNAME,MUNICIPALITY,PRICE_SALE,PRICE_RENT,UNITPRICE_SALE,UNITPRICE_RENT,GROSS_YIELD,GROSS_YIELD_MA12,GROSS_YIELD_VOLATILITY,VIEWS_PER_AD_SALE,VIEWS_PER_AD_RENT,LEADS_PER_AD_SALE,LEADS_PER_AD_RENT,NET_HOUSEHOLD_INCOME,EFFORTRATE_SALE,EFFORTRATE_RENT,YEAR,MONTH,Edad media de la población,Población,Porcentaje de población de 65 y más años,Porcentaje de población menor de 18 años,Tamaño medio del hogar
78,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,228662.490958874,753.828009097862,2758.42386534081,11.5777224720685,5.03666863568323,,,68.095876734661,154.258748690014,0.711007093985063,2.14814902420654,,,,2015,2,43.4,150230.0,18.3,14.7,2.4
79,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,232825.009788811,753.670633730618,2782.71433645679,11.6144961896042,5.00856133341787,,,77.5880024292022,168.144806338546,0.830382361135666,2.40313858083923,32063.4234172357,45.2515953860013,35.2775843128279,2015,3,43.4,150230.0,18.3,14.7,2.4
80,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,234873.79778992,763.467250341545,2802.9127732497,11.6385071866656,4.9827482172434,,,44.4736179497314,94.9832867105471,0.650165822373236,2.00372868220355,,,,2015,4,43.4,150230.0,18.3,14.7,2.4
81,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,237999.823062305,778.221191020653,2812.79533330942,11.722128923327,5.00091654071478,,,63.4257169094438,135.552212113972,0.684623182586626,2.2623065699497,,,,2015,5,43.4,150230.0,18.3,14.7,2.4
82,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,240667.421283534,788.057151473391,2831.5090121901,11.849667958049,5.02191640162231,,,54.8858165698467,139.03463372154,0.611557426402061,2.47724552684581,32108.6726848448,45.989524618259,35.6652049049918,2015,6,43.4,150230.0,18.3,14.7,2.4
83,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,241679.534911794,804.975003452101,2826.67347628183,11.9960543688102,5.09265232201759,,,47.9931448129007,132.519167537264,0.537212959086954,2.61217859019946,,,,2015,7,43.4,150230.0,18.3,14.7,2.4
84,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,243803.994114945,828.581308538673,2831.06727391061,12.1402362960515,5.14586272446234,,,64.7351745083708,151.833470396229,0.476637632660848,3.12821553659144,,,,2015,8,43.4,150230.0,18.3,14.7,2.4
85,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,245850.039750707,875.597199502762,2834.02462421145,12.1262020629145,5.13455047326775,,,79.8365760635531,212.869010071085,0.771929200466401,4.44091244068166,32025.4079360413,43.7613255526652,36.8816430715616,2015,9,43.4,150230.0,18.3,14.7,2.4
86,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,245792.781573137,943.071888208546,2838.11112545019,12.0312631202997,5.08701566154129,,,75.3684864229923,200.584000474119,0.801846449821844,4.15413747911123,,,,2015,10,43.4,150230.0,18.3,14.7,2.4
87,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,245963.049311701,970.06176369086,2832.86469058019,12.1070835649345,5.1285542603681,,,68.5215610566286,176.654573571052,0.773697872464967,3.63603132611275,,,,2015,11,43.4,150230.0,18.3,14.7,2.4
88,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,247344.026147045,953.301287079394,2833.19257811209,12.3221474608279,5.21905113942045,5.07551277297581,0.068366126040322,57.7104551838663,148.988083332668,0.615880078938976,3.18120055322153,32412.156866981,38.9472602719358,36.660482055191,2015,12,43.4,150230.0,18.3,14.7,2.4
89,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,248710.839117411,940.31781928178,2840.61518663844,12.4002075408596,5.23838959920532,5.09140727574704,0.0810392601337773,73.2717926778093,205.412855281107,0.866940064673242,4.45960082056719,,,,2016,1,43.6,150474.0,18.6,14.7,2.4
90,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,248884.438309537,941.652121371598,2859.74965456804,12.5371103188458,5.26078650226725,5.11008376462904,0.0914310345804518,78.7876605815328,206.712080868012,1.02334001031813,4.48156936775941,,,,2016,2,43.6,150474.0,18.6,14.7,2.4
91,0-EU-ES-28-07-001-079-02,Arganzuela,Madrid,250624.070765028,940.710611062173,2876.8540272498,12.7298873112384,5.30992001290015,5.13519698791923,0.100984835201952,68.2249038649834,173.645995034445,0.870648999689913,3.78368278347216,32557.8694388966,36.9987967734153,37.7711655054766,2016,3,43.6,150474.0,18.6,14.7,2.4
