Ano,Distrito,Precio_venta,Precio_alquiler,Esperanza_vida,Renta_media_persona,Edad_media,Mayores_65anos%,Menores_18anos%,Tamano_vivienda_personas,Paro_registrado%,Apartamentos_turisticos,Superficie_distrito_ha,Densidad_poblacion,Zonas_verdes%
2017,MONCLOAARAVACA,3401.6666666666665,13.174999999999999,84.7,22792.0,43.9,0.21600000000000003,0.16899999999999998,2.5,0.03894093213077136,11.0,4653.11,24.662000253593835,0.04265964054148731
2017,LATINA,1860.4166666666667,10.033333333333333,84.6,12370.0,46.1,0.252,0.141,2.5,0.06288540973161809,1.0,2542.72,91.56139881701486,0.10877328215454317
2017,CARABANCHEL,1764.5,9.966666666666667,85.0,10988.0,42.9,0.195,0.16699999999999998,2.6,0.0709434132312999,0.0,1404.83,173.7598143547618,0.16386324323939552
2017,USERA,1607.4166666666667,9.733333333333333,84.1,9552.0,41.9,0.175,0.17800000000000002,2.7,0.07538125876065518,0.0,777.77,173.05630199159134,0.21677359630739165
2017,PUENTEDEVALLECAS,1441.5833333333333,9.941666666666666,83.3,9706.0,42.9,0.183,0.159,2.6,0.08672909023189247,1.0,1496.86,151.86323370255067,0.1797028446214075
2017,MORATALAZ,2109.9166666666665,9.616666666666667,85.5,14135.0,46.9,0.26,0.14,2.5,0.06019995005707762,0.0,610.32,153.10001310787783,0.19126032245379473
2017,CIUDADLINEAL,2519.3333333333335,11.966666666666667,85.2,15111.0,45.4,0.231,0.146,2.5,0.05561118379517892,0.0,1142.57,185.30418267589732,0.11127545795881216
2017,HORTALEZA,3052.0833333333335,11.516666666666666,85.1,18620.0,41.7,0.185,0.19699999999999998,2.6,0.0472611669650645,0.0,2762.61,65.70779082099898,0.11301269451714138
2017,VILLAVERDE,1436.25,8.65,84.8,9875.0,41.7,0.179,0.187,2.7,0.08157738468033385,1.0,2018.76,71.18330063999683,0.10653569517921892
2017,VILLADEVALLECAS,1972.75,9.866666666666665,84.1,12114.0,38.0,0.122,0.21100000000000002,2.6,0.07116504975942048,1.0,5146.72,20.688710479684147,0.05397612459974508
2017,VICALVARO,1695.25,9.358333333333333,84.2,11941.0,40.0,0.146,0.214,2.7,0.0698789293406583,0.0,3526.67,19.923043550998532,0.04538559037278793
2017,SANBLASCANILLEJAS,2270.8333333333335,10.625,84.1,13559.0,42.5,0.17600000000000002,0.182,2.6,0.06369069248338871,10.0,2229.24,69.13208088855396,0.07174193895677451
2017,BARAJAS,2685.8333333333335,10.975,86.5,17807.0,40.9,0.175,0.20600000000000002,2.7,0.04296173068283918,0.0,4171.65,11.383505327628157,0.02343676962353026
2018,CENTRO,4874.083333333333,18.416666666666668,84.5,17932.0,43.6,0.161,0.092,2.0,0.05910561985988425,41.0,522.82,251.17631307142034,0.06264106193336139
2018,ARGANZUELA,3844.8333333333335,14.666666666666666,85.6,18473.0,44.0,0.191,0.141,2.4,0.045520291204013234,4.0,646.22,236.08368667017425,0.1365633994614837
2018,RETIRO,4405.833333333333,15.65,86.0,22706.0,46.5,0.257,0.14,2.4,0.03587369440760109,1.0,546.62,216.54714426841315,0.06516409937433683
2018,SALAMANCA,5539.666666666667,18.408333333333335,85.9,26255.0,45.7,0.237,0.128,2.3,0.03422906448430618,8.0,539.24,266.93494547882204,0.05722869223351383
2018,CHAMARTIN,4975.666666666667,15.800000000000002,86.1,28190.0,44.8,0.23,0.154,2.5,0.032575826039805626,7.0,917.55,156.77510762356275,0.05888507438286742
2018,TETUAN,3433.0833333333335,15.075000000000001,84.8,15742.0,43.7,0.19399999999999998,0.131,2.4,0.05302986425727622,4.0,537.47,289.1175321413288,0.11915083632574842
2018,CHAMBERI,5142.0,17.599999999999998,85.2,24112.0,45.7,0.23800000000000002,0.12300000000000001,2.2,0.03600160754082788,5.0,467.92,292.47520943751067,0.02175585570182937
2018,FUENCARRALELPARDO,3248.8333333333335,12.083333333333334,85.4,19551.0,42.3,0.20600000000000002,0.198,2.7,0.037651306900887964,0.0,23783.84,10.186664558792861,0.014479579411903207
2018,MONCLOAARAVACA,3765.25,14.191666666666668,86.1,24686.0,43.9,0.21600000000000003,0.168,2.6,0.03621015121698305,12.0,4653.11,25.008435218595736,0.04265964054148731
2018,LATINA,2157.9166666666665,10.958333333333334,85.5,12749.0,46.1,0.25,0.14,2.5,0.057484303986426295,1.0,2542.72,92.56111565567582,0.10877328215454317
2018,CARABANCHEL,2008.0,11.125,84.8,11327.0,42.9,0.192,0.165,2.6,0.06556631349171232,0.0,1404.83,176.9623370799314,0.16386324323939552
2018,USERA,1861.3333333333333,10.766666666666666,84.4,9860.0,41.9,0.172,0.17600000000000002,2.8,0.0697978321763488,0.0,777.77,175.95175951759518,0.21677359630739165
2018,PUENTEDEVALLECAS,1732.25,11.049999999999999,83.9,10045.0,42.8,0.18,0.157,2.6,0.07985481794207425,2.0,1496.86,154.44396937589354,0.1797028446214075
2018,MORATALAZ,2345.4166666666665,10.208333333333334,85.3,14637.0,47.1,0.26,0.13699999999999998,2.5,0.05615044625699278,0.0,610.32,153.47358762616332,0.19126032245379473
