Distrito,Habitaciones,Operacion,Precio,Tamano,Garaje,Trastero,Piscina,Terraza,Planta,Exterior,Ascensor,Ano_construccion,Ano_reforma,Tipo_vivienda,Banos,Cluster_KMeans,Cluster_GMM,Cluster_HDBSCAN,Cluster_DP_GMM
CENTRO,2,0,1380,49.0,0,0,0,0,1.0,1,0,,,0,1,3,16,1,15
CENTRO,1,0,1700,80.0,0,0,0,1,2.0,1,0,,,0,1,3,16,1,15
CENTRO,5,0,4150,138.0,0,0,0,0,1.0,1,1,,,0,2,1,13,-1,13
CENTRO,3,0,2750,115.0,0,0,0,0,1.0,1,0,,,0,1,3,16,1,15
CENTRO,2,0,2400,96.0,0,0,0,0,2.0,1,0,,,0,1,3,16,1,15
CENTRO,2,0,2600,92.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,2700,120.0,0,0,0,0,4.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,2200,120.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2400,124.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,4,0,4900,140.0,0,0,0,0,2.0,1,0,,,0,1,3,19,1,15
CENTRO,1,0,1100,48.0,0,0,0,0,5.0,1,0,,,7,1,4,5,0,17
CENTRO,2,0,2800,80.0,0,0,0,0,2.0,0,1,,,0,1,1,15,1,6
CENTRO,4,0,10000,350.0,0,0,0,0,2.0,1,1,,,0,1,1,8,2,10
CENTRO,2,0,2320,79.0,0,0,0,1,3.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1600,54.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,2660,69.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,4800,136.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1150,51.0,0,0,0,0,2.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,2500,65.0,0,0,0,0,5.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1500,124.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,1400,75.0,0,0,0,1,2.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2150,72.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,3200,180.0,0,0,0,0,3.0,1,1,,,0,1,1,8,2,0
CENTRO,3,0,4500,170.0,0,0,0,0,3.0,1,1,,,0,1,1,8,2,0
CENTRO,1,0,3000,80.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2580,81.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,2000,80.0,0,0,0,0,3.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,1770,82.0,0,0,0,0,3.0,1,0,,,0,1,3,16,1,15
CENTRO,1,0,3000,100.0,0,0,0,0,8.0,1,1,,,2,1,4,4,0,3
CENTRO,2,0,2030,97.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,3,0,1900,95.0,0,0,0,1,2.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,1850,70.0,0,0,0,1,1.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1450,55.0,0,0,0,0,2.0,1,1,,,4,1,4,5,0,3
CENTRO,1,0,1590,73.0,0,0,0,0,1.0,1,0,,,0,1,3,16,1,15
CENTRO,1,0,1450,61.0,0,0,0,0,4.0,1,1,1890.0,,0,1,1,0,2,0
CENTRO,2,0,3200,156.0,0,0,0,0,2.0,1,1,,,0,2,1,13,-1,13
CENTRO,1,0,2200,50.0,0,0,0,0,4.0,0,1,,,0,1,1,15,1,6
CENTRO,1,0,2500,82.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,2400,68.0,0,0,0,0,3.0,1,1,1960.0,,0,1,1,0,2,0
CENTRO,3,0,6000,10.0,0,0,0,0,2.963552021206097,0,1,,,0,1,1,15,1,6
CENTRO,2,0,1900,105.0,0,0,0,0,5.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,5200,147.0,0,0,0,0,2.963552021206097,0,1,,,0,1,1,15,1,6
CENTRO,1,0,1950,81.0,0,0,0,0,3.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2000,50.0,0,0,0,0,2.963552021206097,0,1,,,0,1,1,15,1,6
CENTRO,2,0,1600,55.0,0,0,0,0,2.963552021206097,0,0,,,0,1,3,3,3,8
CENTRO,1,0,2300,45.0,0,0,0,1,5.0,1,1,,,0,1,1,8,2,0
CENTRO,2,0,1190,38.0,0,0,0,0,5.0,0,1,,,0,1,1,15,1,6
CENTRO,2,0,1650,75.0,0,0,0,0,1.0,1,0,,,0,1,3,16,1,15
CENTRO,1,0,3285,74.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,2835,71.0,0,0,0,0,5.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,2840,65.0,0,0,0,0,1.0,1,1,,,0,1,1,0,2,0
CENTRO,1,0,1755,55.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
CENTRO,2,0,2295,82.0,0,0,0,0,2.0,1,1,,,0,1,1,0,2,0
